operator_name	table_number	type	paper_label	paper_expression	implementation_location	builder_function	wilson_coefficient	flavour_rank	hermiticity	implementation_status	confidence_level
O3G	1	physical	O_{3G}	f^{ABC} G^A_{μν} G^{B νρ} G^C_{ρμ}	models/SMEFT/operators_bosonic.py	_o3g	alpha_O3G	0	Hermitian / self-conjugate	implemented	high
O3Gtilde	1	physical	O_{3\tilde G}	f^{ABC}  \tilde G^A_{μν} G^{B νρ} G^C_{ρμ}	models/SMEFT/operators_bosonic.py	_o3gt	alpha_O3Gtilde	0	Hermitian / self-conjugate	implemented	high
O3W	1	physical	O_{3W}	ε^{IJK} W^I_{μν} W^{J νρ} W^K_{ρμ}	models/SMEFT/operators_bosonic.py	_o3w	alpha_O3W	0	Hermitian / self-conjugate	implemented	high
O3Wtilde	1	physical	O_{3\tilde W}	ε^{IJK}  \tilde W^I_{μν} W^{J νρ} W^K_{ρμ}	models/SMEFT/operators_bosonic.py	_o3wt	alpha_O3Wtilde	0	Hermitian / self-conjugate	implemented	high
OH	1	physical	O_H	(H^† H)^3	models/SMEFT/operators_bosonic.py	_oh	alpha_OH	0	Hermitian / self-conjugate	implemented	high
OHB	1	physical	O_{HB}	(H^† H) B_{μν} B^{μν}	models/SMEFT/operators_bosonic.py	_ohb	alpha_OHB	0	Hermitian / self-conjugate	implemented	high
OHBtilde	1	physical	O_{H\tilde B}	(H^† H)  \tilde B_{μν} B^{μν}	models/SMEFT/operators_bosonic.py	_ohbt	alpha_OHBtilde	0	Hermitian / self-conjugate	implemented	high
OHD	1	physical	O_{HD}	(H^† D_μ H)^† (H^† D^μ H)	models/SMEFT/operators_bosonic.py	_ohd	alpha_OHD	0	Hermitian / self-conjugate	implemented	high
OHG	1	physical	O_{HG}	(H^† H) G^A_{μν} G^{A μν}	models/SMEFT/operators_bosonic.py	_ohg	alpha_OHG	0	Hermitian / self-conjugate	implemented	high
OHGtilde	1	physical	O_{H\tilde G}	(H^† H)  \tilde G^A_{μν} G^{A μν}	models/SMEFT/operators_bosonic.py	_ohgt	alpha_OHGtilde	0	Hermitian / self-conjugate	implemented	high
OHW	1	physical	O_{HW}	(H^† H) W^I_{μν} W^{I μν}	models/SMEFT/operators_bosonic.py	_ohw	alpha_OHW	0	Hermitian / self-conjugate	implemented	high
OHWB	1	physical	O_{HWB}	(H^† σ^I H) W^I_{μν} B^{μν}	models/SMEFT/operators_bosonic.py	_ohwb	alpha_OHWB	0	Hermitian / self-conjugate	implemented	high
OHWBtilde	1	physical	O_{H\tilde WB}	(H^† σ^I H)  \tilde W^I_{μν} B^{μν}	models/SMEFT/operators_bosonic.py	_ohwbt	alpha_OHWBtilde	0	Hermitian / self-conjugate	implemented	high
OHWtilde	1	physical	O_{H\tilde W}	(H^† H)  \tilde W^I_{μν} W^{I μν}	models/SMEFT/operators_bosonic.py	_ohwt	alpha_OHWtilde	0	Hermitian / self-conjugate	implemented	high
